indicator,percentile,threshold,correlation_type,correlation_value,bull_return,bull_excess,bull_sharpe,bull_drawdown,bear_return,bear_excess,bear_sharpe,bear_drawdown,sideways_return,sideways_excess,sideways_sharpe,sideways_drawdown,avg_excess,min_excess,max_drawdown,max_rank_ic,max_pearson_ic
transfers_count,70,7219.0,negative,-0.0036270925152441305,2.941972729342291,0.5395986777404702,3.1996466584302783,-0.36679124936976976,0.25991125376509316,0.6612231558155608,0.8462207173734616,-0.4047191020155261,0.13290062609810604,0.012927191944405836,0.641266214818937,-0.4176270091288073,0.4045830085001456,0.012927191944405836,-0.4176270091288073,-0.02876728785099377,-0.020905169380729807
transfers_rate,70,12.031666666666666,negative,-0.0036270925152441244,2.941972729342291,0.5395986777404702,3.1996466584302783,-0.36679124936976976,0.25991125376509316,0.6612231558155608,0.8462207173734616,-0.4047191020155261,0.13290062609810604,0.012927191944405836,0.641266214818937,-0.4176270091288073,0.4045830085001456,0.012927191944405836,-0.4176270091288073,-0.02876728785099377,-0.020905169380729744
transfers_volume_entity_adjusted_from_sth_loss_sum,40,45.037426919315635,negative,-0.0001037223512397852,2.4888557773384075,0.08648172573658686,3.727416011264924,-0.37281408612722894,0.6198636372553423,1.02117553930581,2.0040357104167663,-0.3321230078632961,0.22372219818299866,0.10374876402929845,1.271842940242421,-0.2040674982928081,0.40380200969056507,0.08648172573658686,-0.37281408612722894,-0.022590036983943386,-0.017387125797228783
coin_blocks_created,40,16582234.795302402,negative,-0.0022564341123631885,2.4363687427406697,0.03399469113884912,3.396412912241183,-0.34503463159037157,0.597886819838586,0.9991987218890537,1.9709795276352478,-0.3319140604103652,0.24126840816646844,0.12129497401276823,1.3506731140957717,-0.16262191370856377,0.38482946234689036,0.03399469113884912,-0.34503463159037157,-0.02944649354130667,-0.019971875821250144
svl_1m_3m,70,32.20294396799999,negative,-0.003496908631001929,2.7113011314463127,0.3089270798444921,3.3350536118584975,-0.32393586735901997,0.3383040634487169,0.7396159654991845,1.0596223928101745,-0.4854354421666581,0.2165387500436493,0.0965653158899491,1.024831343239873,-0.28443340289464175,0.38170278707787525,0.0965653158899491,-0.4854354421666581,-0.025542393309190746,-0.0067204314011339115
sol_1m_3m,60,184.0,negative,-0.001767125370619715,2.7204586224325933,0.3180845708307727,3.279229949022637,-0.377670909179672,0.2807335175924681,0.6820454196429357,0.9390891207869736,-0.4204031859867642,0.2607687832840695,0.14079534913036929,1.281293193512684,-0.28285046278047926,0.3803084465346926,0.14079534913036929,-0.4204031859867642,-0.02794611180564366,-0.009990056824545925
sol_1d_1w,50,617.0,negative,-0.0020635139795478056,2.674233964843103,0.2718599132412822,3.450077204192718,-0.33078757902136546,0.39228755827380235,0.79359946032427,1.284990323363314,-0.4079704135311188,0.19520210975779206,0.07522867560409185,0.9751919964322253,-0.3911181307727614,0.3802293497232147,0.07522867560409185,-0.4079704135311188,-0.027698841615149145,-0.015431622655141466
sending_to_exchanges_count,70,862.0,negative,-0.003546852243548476,2.8491850278867705,0.4468109762849499,3.264618052953784,-0.3509468329374991,0.2497115548620752,0.6510234569125428,0.839510793621823,-0.45321600790345656,0.16279065389505787,0.04281721974135766,0.795844517798221,-0.3853978257912298,0.38021721764628347,0.04281721974135766,-0.45321600790345656,-0.028934875321098376,-0.020378445790113903
sending_count,50,3919.0,negative,-0.0026756321566310764,2.535814807564023,0.1334407559622024,3.4111127680993416,-0.3817466050828766,0.5427630976880393,0.944074999738507,1.6723594539873081,-0.37023765925276536,0.1794363427204162,0.05946290856671599,0.9552677981481335,-0.3263511579569638,0.3789928880891418,0.05946290856671599,-0.3817466050828766,-0.028719089452681323,-0.0204478645388234
spot_buying_volume_sum,70,636.8051209783162,positive,0.03347035027950791,2.563399829122676,0.16102577752085523,3.5466375752881403,-0.3817088089777663,0.4497573738222127,0.8510692758726803,1.3153929286340451,-0.5385901248652992,0.2422007727902964,0.12222733863659618,1.291116844100798,-0.23838822515123861,0.3781074640100439,0.12222733863659618,-0.5385901248652992,0.04041911243519024,0.0362247925575343
sol_1d_1w,70,1113.0,negative,-0.0020635139795478056,2.9278434874337997,0.5254694358319791,3.1586702502657955,-0.376514689372824,0.16633453701962497,0.5676464390700926,0.6213728670553271,-0.4979819315400081,0.1608563929810325,0.04088295882733228,0.7448097752957762,-0.4159060684946215,0.3779996112431347,0.04088295882733228,-0.4979819315400081,-0.027698841615149145,-0.015431622655141466
svl_entity_adjusted_2y_3y,30,0.0,negative,-0.0008119991984943078,2.512526111541452,0.11015205993963129,3.508435382533444,-0.33428921698533764,0.5280340433555639,0.9293459454060315,1.6069843804113821,-0.3294242995598458,0.21072136113068662,0.09074792697698641,1.0844196568107094,-0.24999873368112493,0.37674864410754977,0.09074792697698641,-0.33428921698533764,-0.023049234532897006,-0.0027319802432348252
svl_entity_adjusted_2y_3y,20,0.0,negative,-0.0008119991984943078,2.512526111541452,0.11015205993963129,3.508435382533444,-0.33428921698533764,0.5280340433555639,0.9293459454060315,1.6069843804113821,-0.3294242995598458,0.21072136113068662,0.09074792697698641,1.0844196568107094,-0.24999873368112493,0.37674864410754977,0.09074792697698641,-0.33428921698533764,-0.023049234532897006,-0.0027319802432348252
svl_entity_adjusted_2y_3y,40,0.0,negative,-0.0008119991984943078,2.512526111541452,0.11015205993963129,3.508435382533444,-0.33428921698533764,0.5280340433555639,0.9293459454060315,1.6069843804113821,-0.3294242995598458,0.21072136113068662,0.09074792697698641,1.0844196568107094,-0.24999873368112493,0.37674864410754977,0.09074792697698641,-0.33428921698533764,-0.023049234532897006,-0.0027319802432348252
svl_entity_adjusted_2y_3y,1,0.0,negative,-0.0008119991984943078,2.512526111541452,0.11015205993963129,3.508435382533444,-0.33428921698533764,0.5280340433555639,0.9293459454060315,1.6069843804113821,-0.3294242995598458,0.21072136113068662,0.09074792697698641,1.0844196568107094,-0.24999873368112493,0.37674864410754977,0.09074792697698641,-0.33428921698533764,-0.023049234532897006,-0.0027319802432348252
svl_entity_adjusted_2y_3y,2,0.0,negative,-0.0008119991984943078,2.512526111541452,0.11015205993963129,3.508435382533444,-0.33428921698533764,0.5280340433555639,0.9293459454060315,1.6069843804113821,-0.3294242995598458,0.21072136113068662,0.09074792697698641,1.0844196568107094,-0.24999873368112493,0.37674864410754977,0.09074792697698641,-0.33428921698533764,-0.023049234532897006,-0.0027319802432348252
svl_entity_adjusted_2y_3y,3,0.0,negative,-0.0008119991984943078,2.512526111541452,0.11015205993963129,3.508435382533444,-0.33428921698533764,0.5280340433555639,0.9293459454060315,1.6069843804113821,-0.3294242995598458,0.21072136113068662,0.09074792697698641,1.0844196568107094,-0.24999873368112493,0.37674864410754977,0.09074792697698641,-0.33428921698533764,-0.023049234532897006,-0.0027319802432348252
